label,translated_clean_data,cleaned_text
neg,"BNP is popular with Jamaat, even the popularity of the popularity does not bother because I love to say black and white white.",bnp popular jamaat even popularity popularity bother love say black white white
pos,Gati is also happy,gati also happy
pos,Gryzmann thinks how many people have done this time in the camp,gryzmann thinks many people done time camp
neg,"The dervish father says that if you need to be more rich, the entire stock market will eat tie",dervish father says need rich entire stock market eat tie
pos,Brother Alien Bolina Aliens are called Messi good Doche as Iran's coach says,brother alien bolina aliens called messi good doche irans coach says
neg,"Shakib has wronged the truth, but there is no qualification for judging wrongdoing, and Shakib has more crime in the past, many players in the past have never been given the kind of gurus of Test playing countries.",shakib wronged truth qualification judging wrongdoing shakib crime past many players past never given kind gurus test playing countries
neg,It is not right to keep the sixty -six in the sixty years of human intelligence to decrease in sixty years,right keep sixty six sixty years human intelligence decrease sixty years
neg,"Father's grandfather Ta La Liga can cross the survival era, so it comes to show the figure in the field.",fathers grandfather ta la liga cross survival era comes show figure field
neg,LB W. Hassala's umpar Magi Puyrandier Broker,lb w hassalas umpar magi puyrandier broker
neg,It takes Tita to hear the truth,takes tita hear truth
neg,People like him swept the Awami League in embarrassing situations,people like swept awami league embarrassing situations
pos,The pictures and details are very good,pictures details good
pos,Pomegranate,pomegranate
neg,The price of the chair is also new prices not so much if the chair is priced,price chair also new prices much chair priced
neg,"Yes, if this is a madridista brother, then if the profit is the festival, then I shaved the same profit from the post clear.",yes madridista brother profit festival shaved profit post clear
neg,The country is going to the van drivers and I will not study,country going van drivers study
neg,This is a negative example text.,negative example text
ntr,Brother it has acted on Ed Mashrafe just wrote it on Anisul Haque Ed Ta made on the first light anniversary of the first light.,brother acted ed mashrafe wrote anisul haque ed ta made first light anniversary first light
pos,This is a positive example text.,positive example text
ntr,"Ronita Sharma Rekhi, a fashion show authorities, said that Bipasha Basu had earlier taken the money in advance of the fashion show.He claimed to have done it, but if the hotel was not found for so long, Bipasha and her actor's husband's room was booked at the other five -star hotel, but Bipasha did not mind Bipasha Bipasha Authority Authority threw only five pounds on their faces.Then Ronita Sharma shouted in front of the hotel, saying that she would not participate in the fashion show",ronita sharma rekhi fashion show authorities said bipasha basu earlier taken money advance fashion showhe claimed done hotel found long bipasha actors husbands room booked five star hotel bipasha mind bipasha bipasha authority authority threw five pounds facesthen ronita sharma shouted front hotel saying would participate fashion show
neg,The verse is over,verse
pos,Perhaps the indifferent brother did sticky,perhaps indifferent brother sticky
pos,Like,like
neg,"If you are still in the jungle, the network problem in the strange area is to inform the customer care with the specific location.",still jungle network problem strange area inform customer care specific location
pos,Water in the eyes again after a year,water eyes year
pos,Good,good
neg,"Bhau Aida How many days to do Bengali YouTube, he is playing in the dough to do the tispring till the time to do the same thing to do, to do the web site to do the web site.Can't",bhau aida many days bengali youtube playing dough tispring till time thing web site web sitecant
neg,Give jobs with varsity to bring out the skilled manpower to take direct professional courses excluding Azira Honorsmasters,give jobs varsity bring skilled manpower take direct professional courses excluding azira honorsmasters
neg,Man,man
ntr,Brothers,brothers
neg,"Alas today is the madness of Maines in the empty mines, Ijka is not mad day",alas today madness maines empty mines ijka mad day
pos,Nanu looks pretty,nanu looks pretty
neg,Goat,goat
neg,The kind of madness comes in the news,kind madness comes news
neg,"Nice to say that Ion does not force anyone when you are interested in running Linux, if you want to say the advantage of the benefits if you are interested in watching Linux, you do not have the urge to say that it is good to say that it is good to say that it is good to be good.The only hatred is about the thief of the thief thieves growing day by day",nice say ion force anyone interested running linux want say advantage benefits interested watching linux urge say good say good say good goodthe hatred thief thief thieves growing day day
